flatness378,971.117,620.129,6.681
flatness379,971.12,570.128,6.679
flatness380,971.118,520.128,6.671
flatness381,971.117,470.13,6.662
flatness382,971.125,420.126,6.652
flatness383,971.116,370.129,6.641
flatness384,971.113,320.13,6.633
flatness385,971.117,270.129,6.622
flatness386,971.124,220.124,6.6
flatness387,971.111,170.133,6.565
flatness388,971.118,120.129,6.524
flatness389,971.114,70.131,6.482
flatness390,971.117,20.128,6.45
flatness391,1021.12,20.123,6.455
flatness392,1021.114,70.129,6.487
flatness393,1021.113,120.13,6.53
flatness394,1021.112,170.13,6.572
flatness395,1021.115,220.131,6.608
flatness396,1021.113,270.13,6.63
flatness397,1021.117,320.129,6.64
flatness398,1021.117,370.129,6.649
flatness399,1021.119,420.13,6.655
flatness400,1021.124,470.124,6.663
flatness401,1021.117,520.128,6.671
flatness402,1021.117,570.128,6.677
flatness403,1021.113,620.129,6.681
flatness404,1021.125,670.126,6.682
flatness405,1021.119,720.133,6.684
flatness406,1021.116,770.128,6.682
flatness407,1021.117,820.129,6.673
flatness408,1071.121,770.125,6.684
flatness409,1071.117,720.129,6.682
flatness410,1071.11,670.128,6.677
flatness411,1071.117,620.129,6.674
flatness412,1071.116,570.129,6.67
flatness413,1071.117,520.129,6.663
flatness414,1071.116,470.129,6.656
flatness415,1071.117,420.129,6.65
flatness416,1071.116,370.128,6.647
flatness417,1071.117,320.129,6.638
flatness418,1071.116,270.129,6.626
flatness419,1071.117,220.127,6.604
flatness420,1071.115,170.128,6.567
flatness421,1071.112,120.131,6.525
flatness422,1071.118,70.129,6.483
flatness423,1071.118,20.127,6.45
flatness424,1121.123,20.126,6.46
flatness425,1121.12,70.128,6.491
flatness426,1121.117,120.129,6.533
flatness427,1121.116,170.131,6.575
flatness428,1121.113,220.128,6.611
flatness429,1121.117,270.129,6.634
flatness430,1121.117,320.129,6.649
flatness431,1121.119,370.127,6.654
flatness432,1121.113,420.13,6.655
flatness433,1121.123,470.128,6.66
flatness434,1121.116,520.128,6.665
flatness435,1121.12,570.128,6.672
flatness436,1121.119,620.128,6.677
flatness437,1121.111,670.133,6.686
flatness438,1121.118,720.128,6.694
flatness439,1121.117,770.129,6.697
flatness440,1171.117,720.129,6.714
flatness441,1171.112,670.129,6.7
flatness442,1171.114,620.131,6.687
flatness443,1171.113,570.135,6.678
flatness444,1171.111,520.132,6.67
flatness445,1171.117,470.129,6.665
flatness446,1171.117,420.129,6.66
flatness447,1171.116,370.127,6.659
flatness448,1171.118,320.129,6.654
flatness449,1171.111,270.131,6.635
flatness450,1171.117,220.129,6.61
flatness451,1171.118,170.129,6.573
flatness452,1171.117,120.13,6.528
flatness453,1171.116,70.126,6.487
flatness454,1171.119,20.131,6.457
flatness455,1221.116,20.127,6.456
flatness456,1221.114,70.123,6.483
flatness457,1221.124,120.13,6.522
flatness458,1221.111,170.131,6.565
flatness459,1221.124,220.126,6.602
flatness460,1221.117,270.129,6.63
flatness461,1221.123,320.128,6.646
flatness462,1221.117,370.129,6.652
flatness463,1221.116,420.129,6.65
flatness464,1221.124,470.124,6.65
flatness465,1221.121,520.128,6.652
flatness466,1221.116,570.13,6.661
flatness467,1221.117,620.128,6.671
flatness468,1221.118,670.129,6.688
flatness469,1221.115,720.126,6.705
flatness470,1271.117,670.129,6.727
flatness471,1271.12,620.127,6.709
flatness472,1271.118,570.131,6.692
flatness473,1271.112,520.128,6.682
flatness474,1271.117,470.13,6.68
flatness475,1271.111,420.133,6.679
flatness476,1271.118,370.129,6.679
flatness477,1271.117,320.129,6.67
flatness478,1271.124,270.127,6.651
flatness479,1271.123,220.128,6.619
flatness480,1271.112,170.13,6.574
flatness481,1271.118,120.127,6.527
flatness482,1271.124,70.136,6.484
flatness483,1271.126,20.127,6.454
flatness484,1321.124,20.132,6.437
flatness485,1321.12,70.132,6.465
flatness486,1321.117,120.129,6.506
flatness487,1321.11,170.131,6.555
flatness488,1321.123,220.125,6.6
flatness489,1321.113,270.13,6.632
flatness490,1321.117,320.129,6.651
flatness491,1321.118,370.128,6.656
